snapshot_id,pipeline,fenetre_debut,fenetre_fin,version_collecte,annonce_id,url,modele,annee,type_connexion,segment,energie,reservation_instantanee,prix_jour,prix_heure,note,nb_avis,commune_recherche,commune_annonce,communes_recherche,nb_communes_matchees,rang_resultat,livraison_disponible,mon_vehicule,compte_proprietaire
20260728T141950,A2,2026-07-29T09:00,2026-07-30T09:00,v3.2-pagination-gps,gps,jour,1916414,https://fr.getaround.com/location-voiture/paris/peugeot-208-1916414?program=getaround&searched_address%5Blatitude%5D=48.9175&searched_address%5Blongitude%5D=2.2869,Peugeot 208,2026,GETAROUND CONNECT,CITADINE,THERMIQUE,,,deduite,False,75.0,,,,Asnières-sur-Seine,Paris,Asnières-sur-Seine
20260728T141950,A2,2026-07-29T09:00,2026-07-30T09:00,v3.2-pagination-gps,gps,jour,1900833,https://fr.getaround.com/location-voiture/soisy-sous-montmorency/peugeot-208-1900833?program=getaround&searched_address%5Blatitude%5D=48.9175&searched_address%5Blongitude%5D=2.2869,Peugeot 208,2023,Sur rendez-vous,CITADINE,THERMIQUE,,,deduite,False,70.0,,,,Asnières-sur-Seine,Soisy Sous Montmorency,Asnières-sur-Seine
20260728T141950,A2,2026-07-29T09:00,2026-07-30T09:00,v3.2-pagination-gps,gps,jour,842040,https://fr.getaround.com/location-voiture/paris/citroen-c3-aircross-842040?program=getaround&searched_address%5Blatitude%5D=48.8847&searched_address%5Blongitude%5D=2.2386,Citroen C3 Aircross,2018,GETAROUND CONNECT,SUV_COMPACT,THERMIQUE,,,deduite,False,74.0,,4.49,98,Puteaux,Paris,Puteaux
20260728T141950,A2,2026-07-29T09:00,2026-07-30T09:00,v3.2-pagination-gps,gps,jour,1691582,https://fr.getaround.com/location-voiture/paris/peugeot-2008-1691582?program=getaround&searched_address%5Blatitude%5D=48.9175&searched_address%5Blongitude%5D=2.2869,Peugeot 2008,2019,Sur rendez-vous,SUV_COMPACT,THERMIQUE,,,deduite,False,86.0,,5.0,15,Asnières-sur-Seine,Paris,Asnières-sur-Seine
20260728T141950,A2,2026-07-29T09:00,2026-07-30T09:00,v3.2-pagination-gps,gps,jour,1820985,https://fr.getaround.com/location-voiture/issy-les-moulineaux/peugeot-208-1820985?program=getaround&searched_address%5Blatitude%5D=48.8847&searched_address%5Blongitude%5D=2.2386,Peugeot 208,2017,GETAROUND CONNECT,CITADINE,THERMIQUE,,,deduite,False,65.0,,4.72,29,Puteaux,Issy Les Moulineaux,Puteaux
20260728T141950,A2,2026-07-29T09:00,2026-07-30T09:00,v3.2-pagination-gps,gps,jour,1564818,https://fr.getaround.com/location-voiture/boulogne-billancourt/renault-twingo-iii-1564818?program=getaround&searched_address%5Blatitude%5D=48.8847&searched_address%5Blongitude%5D=2.2386,Renault Twingo III,2021,GETAROUND CONNECT,MICRO_CITADINE,THERMIQUE,,,deduite,False,65.0,,4.7,41,Puteaux,Boulogne Billancourt,Puteaux
20260728T141950,A2,2026-07-29T09:00,2026-07-30T09:00,v3.2-pagination-gps,gps,jour,1556419,https://fr.getaround.com/location-voiture/paris/toyota-corolla-break-hybride-1556419?program=getaround&searched_address%5Blatitude%5D=48.9175&searched_address%5Blongitude%5D=2.2869,Toyota Corolla Break Hybride,2021,GETAROUND CONNECT,BREAK,HYBRIDE,,,deduite,False,84.0,,4.31,34,Asnières-sur-Seine,Paris,Asnières-sur-Seine
20260728T141950,A2,2026-07-29T09:00,2026-07-30T09:00,v3.2-pagination-gps,gps,jour,1629787,https://fr.getaround.com/location-voiture/paris/renault-clio-1629787?program=getaround&searched_address%5Blatitude%5D=48.8847&searched_address%5Blongitude%5D=2.2386,Renault Clio,2024,GETAROUND CONNECT,CITADINE,THERMIQUE,,,deduite,False,79.0,,4.8,45,Puteaux,Paris,Puteaux|Asnières-sur-Seine
20260728T141950,A2,2026-07-29T09:00,2026-07-30T09:00,v3.2-pagination-gps,gps,jour,1934283,https://fr.getaround.com/location-voiture/paris/peugeot-208-1934283?program=getaround&searched_address%5Blatitude%5D=48.8847&searched_address%5Blongitude%5D=2.2386,Peugeot 208,2026,GETAROUND CONNECT,CITADINE,THERMIQUE,,,deduite,False,87.0,,,,Puteaux,Paris,Puteaux|Asnières-sur-Seine
20260728T141950,A2,2026-07-29T09:00,2026-07-30T09:00,v3.2-pagination-gps,gps,jour,1712083,https://fr.getaround.com/location-voiture/sartrouville/mercedes-benz-classe-e-coupe-1712083?program=getaround&searched_address%5Blatitude%5D=48.8847&searched_address%5Blongitude%5D=2.2386,Mercedes-Benz Classe E Coupé,2014,Sur rendez-vous,BERLINE,THERMIQUE,,,deduite,False,176.0,,5.0,1,Puteaux,Sartrouville,Puteaux|Asnières-sur-Seine
